Year,Semester,Course Code,Course Name,Prerequisites
Freshman,Fall,160:159,General Chemistry for Engineers,640:103 or 640:104 or 640:112 or 640:115 or 640:135 or 640:151
Freshman,Fall,160:171,Intro to Experimentation,160:159 or 160:161 or 160:163 or 160:165 or 160:115 or 160:115
Freshman,Fall,355:101,Expository Writing,
Freshman,Fall,440:101,Intro Engineering - ID3EA I,
Freshman,Fall,640:151,Calculus I,640:113 and 640:114 and 640:112 or 640:113 and 640:114 and 640:115
Freshman,Fall,750:123,Analytical Physics IA,
Freshman,Fall,Humanities Elective,Humanities/Social Science Elective,
Freshman,Spring,160:160,General Chemistry for Engineers,640:112 and 640:115 and 160:159
Freshman,Spring,440:102,Intro Engineering - ID3EA II,440:101
Freshman,Spring,440:221,Engineering Mechanics (Statics),640:151 and 640:121 and 640:135 and 750:123 or 640:151 and 640:191 and 640:135 and 750:203 or 750:202 and 750:271 and 750:115 and 640:151 or 640:151 and 640:191 and 640:135 and 750:271 or 640:151 and 640:121 and 640:135 and 750:213 or 640:151 and 640:135 and 640:121 and 750:131
Freshman,Spring,640:152,Calculus II,640:135 or 640:151 or 640:135 or 640:155 or 640:121 or 640:135
Freshman,Spring,750:124,Analytical Physics IB,750:115 or 750:123
Sophomore,Fall,440:222,Engineering Mechanics (Dynamics),640:152 and 640:154 and 640:192 and 440:221 or 640:152 and 640:154 and 640:192 and 440:291 or 640:152 and 640:122 and 640:136 and 440:221 or 640:152 and 640:122 and 640:136 and 440:291
Sophomore,Fall,540:343,Engineering Economics,
Sophomore,Fall,640:251,Multivariable Calculus,640:152 or 640:192 or 640:136 or 640:156 or 640:122
Sophomore,Fall,650:210,Intro to Aerospace Engineering,440:221 and 440:291 and 640:152 or 440:221 and 440:291 and 640:136 or 440:221 and 440:291 and 640:122 or 440:221 and 440:291 and 640:192
Sophomore,Fall,750:227,Analytical Physics IIA,750:116 and 750:124 and 750:271 and 640:152
Sophomore,Fall,750:229,Analytical Physics IIA Lab,750:116 or 750:124 or 750:201 or 750:203 or 750:271 or 750:213 or 750:131 or 750:203 or 750:203
Sophomore,Fall,650:291,Mechanics of Materials,440:221 and 440:291 and 640:152 or 440:221 and 440:291 and 640:136 or 440:221 and 440:291 and 640:122 or 440:221 and 440:291 and 640:192
Sophomore,Spring,650:388,CAD in MAE,640:152 and 640:136 and 440:221 or 640:122 and 640:192 and 440:221 or 640:152 and 640:136 and 440:291 or 640:122 and 640:192 and 440:291
Sophomore,Spring,650:361,Mechatronics,640:152 and 640:136 and 640:122 and 440:221 or 640:152 and 640:136 and 640:122 and 440:291 or 640:192 and 640:136 and 640:122 and 440:221 or 640:192 and 640:136 and 640:122 and 440:291
Sophomore,Spring,650:351,Thermodynamics,440:222 and 750:227 and 640:251 and 640:251 or 440:292 and 750:227 and 640:251 and 640:251 or 440:292 and 750:272 and 640:291 and 640:291 or 440:222 and 750:272 and 640:251 and 640:251 or 440:292 and 750:272 and 640:251 and 640:251 or 440:222 and 750:227 and 640:291 and 640:291
Sophomore,Spring,650:291,Mechanics of Materials,440:221 and 440:291 and 640:152 or 440:221 and 440:291 and 640:136 or 440:221 and 440:291 and 640:122 or 440:221 and 440:291 and 640:192
Sophomore,Spring,650:388,CAD in MAE,640:152 and 640:136 and 440:221 or 640:122 and 640:192 and 440:221 or 640:152 and 640:136 and 440:291 or 640:122 and 640:192 and 440:291
Junior,Fall,640:421,Advanced Calculus,640:244 or 640:252 or 640:292 or 640:314 or 640:314
Junior,Fall,650:312,Fluid Mechanics,640:244 and 640:292 and 640:314 and 440:222 or 640:244 and 640:292 and 640:314 and 440:292
Junior,Fall,650:342,Design of Mechanical Components,650:291 and 440:222 and 640:251 and 650:388 or 650:291 and 440:222 and 640:291 and 650:388 or 650:291 and 440:292 and 640:251 and 650:388 or 650:291 and 440:292 and 640:291 and 650:388 or 180:243 and 440:222 and 640:251 and 650:388 or 180:243 and 440:222 and 640:291 and 650:388
Junior,Fall,650:401,Dynamic Systems & Controls,640:244 and 640:292 and 640:314 and 440:222 or 640:244 and 640:292 and 640:314 and 440:292
Junior,Fall,650:350,MAE Measurements,650:361 and 650:291 and 640:251 and 640:251 or 650:361 and 650:291 and 640:291 and 640:291 or 650:361 and 650:291 and 640:221 and 640:221 or 650:361 and 650:291 and 640:235 and 640:235
Junior,Fall,650:449,Aerospace Materials,640:244 and 640:292 and 650:291 or 640:314 and 640:314 and 650:291
Junior,Fall,650:458,Aerospace Structures,640:251 and 640:291 and 640:221 and 650:291 or 640:251 and 640:291 and 640:235 and 650:291
Junior,Spring,650:460,Aerodynamics,650:312 or 650:351
Junior,Spring,650:471,Aircraft Flight Dynamics,440:222 and 440:292 and 640:421
Junior,Spring,Humanities Elective,Humanities/Social Science Elective,
Junior,Spring,Technical Elective,Technical Elective,
Senior,Fall,650:431,MAE Lab I,650:350 or 650:312 and 650:351
Senior,Fall,650:439,Multiphysics Simulations,640:244 or 650:351
Senior,Fall,650:457,Spacecraft Mission Design,650:342 or 650:388
Senior,Fall,650:465,Orbital Mechanics,650:312 or 650:351
Senior,Fall,650:487,Aerospace Design Project I,650:312 or 650:342 and 650:350 and 650:351 and 650:388
Senior,Spring,650:433,AE Lab,650:291 or 650:312 and 650:350 and 650:351
Senior,Spring,650:459,Aerospace Propulsion,650:312 or 650:351
Senior,Spring,650:463,Compressible Fluid Dynamics,650:312 or 650:351
Senior,Spring,650:488,Aerospace Design Project II,650:487
